,ID,A,B,ANNT,time,PAD
0,f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a,89,134,A,2023-04-27 16:23:52.074988,
1,0cbaa3ae-5376-4d7f-8053-7daba92be456,91,33,A,2023-04-27 16:27:25.627673,
2,0cbaa3ae-5376-4d7f-8053-7daba92be456,42,43,B,2023-04-27 16:28:58.811368,
5,7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1,2,1,E,2023-04-27 16:55:59.593457,
8,a11999eb-48ab-4655-b2e7-a102e7210111,31,145,B,2023-04-27 17:30:22.523575,
9,a11999eb-48ab-4655-b2e7-a102e7210111,70,53,B,2023-04-27 17:32:58.353344,
14,33253213-2bfe-40e3-8131-2e175da84c1c,172,12,B,2023-05-05 15:16:42.529183,
15,2f12fa57-37c6-4486-be84-ac4e5dc569c2,104,7,B,2023-05-05 15:23:15.071408,
16,2f12fa57-37c6-4486-be84-ac4e5dc569c2,10,75,B,2023-05-05 15:25:33.620006,
19,b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4,134,162,A,2023-05-05 17:23:43.574288,
20,b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4,81,30,B,2023-05-05 17:25:02.425048,
21,90237211-82c9-4695-9a59-8d975f6bef3a,10,184,A,2023-05-05 17:44:06.460600,
22,90237211-82c9-4695-9a59-8d975f6bef3a,84,149,B,2023-05-05 17:47:04.053755,
24,fdb9bf30-0d9b-4985-bdff-661806be4fe5,170,168,A,2023-05-05 19:02:03.884332,
25,fdb9bf30-0d9b-4985-bdff-661806be4fe5,40,53,N,2023-05-05 19:03:42.690779,
26,2482c1ca-0da2-4288-a8a6-c5e41050e310,192,109,B,2023-05-05 19:58:05.741468,
27,2482c1ca-0da2-4288-a8a6-c5e41050e310,29,3,A,2023-05-05 20:00:00.982271,
28,f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6,87,36,A,2023-05-05 21:51:08.283509,
29,f2bb6e80-5d6a-47f7-9d4f-bffa766cefd6,34,55,A,2023-05-05 21:53:33.053763,
31,cf8680ff-9cc5-4a30-b2f1-0e6ceaf39e9c,184,166,N,2023-05-06 00:19:22.167527,
32,95c108b2-2aa7-4a86-84b1-5c01d2455ec0,25,46,B,2023-05-06 09:08:59.150428,
33,95c108b2-2aa7-4a86-84b1-5c01d2455ec0,84,142,E,2023-05-06 09:11:08.044559,
35,0c490eda-0204-4232-aca2-4918ee2e8bf8,178,29,A,2023-05-06 09:29:38.735024,
36,4324f040-147a-443b-b639-125efb4faf24,134,55,N,2023-05-06 11:14:19.308190,
39,a3bbdd04-4020-4bc8-95d2-692568fe9115,19,72,A,2023-05-06 15:07:07.439679,
