ID,Q1,Q2,Q3,Q4,Q5,Q6,time,PAD
7699c3d2-fb67-40f4-a8c2-d04c9c59d7f1,B,B,C,C,A22,C,2023-04-27 16:13:44.706734,
0af703b3-a499-45df-93df-53052633ff12,B,B,A,D,B,C,2023-04-27 16:14:03.795309,
f1db3f62-7202-4d4f-ab26-8f7b7cb62c2a,B,B,A,B,A24,A,2023-04-27 16:15:58.113494,
c90996eb-23a6-4e52-a513-6064c2a1cc08,B,B,A,D,B,C,2023-04-27 16:18:28.917194,
3f617287-96c2-4a87-848f-0a4c875434f2,A,A,A,B,B,A,2023-04-27 16:20:28.640142,
30a3a049-3bd8-4990-a9fc-8e86de0afd8e,A,A,A,B,B,A,2023-04-27 16:23:17.327193,
30a3a049-3bd8-4990-a9fc-8e86de0afd8e,A,A,A,B,B,A,2023-04-27 16:23:57.341441,
0cbaa3ae-5376-4d7f-8053-7daba92be456,A,B,A,B,A22,A,2023-04-27 16:24:29.668681,
30a3a049-3bd8-4990-a9fc-8e86de0afd8e,A,A,A,B,B,A,2023-04-27 16:24:58.979614,
c90996eb-23a6-4e52-a513-6064c2a1cc08,B,B,D,D,B,C,2023-04-27 16:26:13.728770,
c90996eb-23a6-4e52-a513-6064c2a1cc08,B,B,D,D,B,C,2023-04-27 16:44:55.793972,
63163f1e-648c-430f-a9a8-63857f77f90d,A,A,C,B,B,B,2023-04-27 16:50:45.669340,
15441163-83ea-493e-adda-61d2b8d8d5b0,A,A,C,B,B,B,2023-04-27 16:54:18.761879,
88ab0386-5b0f-4bb9-8f54-a8ebe9cc68df,A,A,A,A,A30,D,2023-04-27 17:06:07.943942,
a11999eb-48ab-4655-b2e7-a102e7210111,B,B,A,C,A23,A,2023-04-27 17:25:13.111314,
43cb580e-dcc1-438e-b4dc-19303e208aaf,B,B,C,C,A23,B,2023-04-27 19:11:33.254036,
78cb9d17-2565-4af3-b2f9-1fae7bedb035,A,A,C,C,A40,A,2023-04-27 19:35:03.840677,
a680318c-8079-4ec8-9ea6-80ae2addc343,B,B,A,C,A26,A,2023-04-27 21:40:39.796443,
f8e1ebde-5f69-4e49-be86-b5f25309aef4,A,A,C,A,A23,A,2023-05-05 15:08:07.569128,
33253213-2bfe-40e3-8131-2e175da84c1c,B,B,C,D,B,A,2023-05-05 15:09:25.950408,
ea6bb085-7b48-4345-b6f3-7c1fb952f3b9,A,A,D,A,B,A,2023-05-05 15:10:21.670879,
f10c105d-83ee-46e7-a9cd-70f6eb6ff5e1,A,A,A,A,A,A,2023-05-05 15:10:44.702736,
2f12fa57-37c6-4486-be84-ac4e5dc569c2,A,A,D,A,A24,A,2023-05-05 15:18:02.462408,
b463a8e7-e300-4baf-b741-4c9aa8f3eab7,B,A,C,C,A23,A,2023-05-05 15:37:57.772342,
70d6994c-b6d4-4e92-9d50-e1c25931d401,B,B,C,C,A18,A,2023-05-05 16:06:31.418683,
2900ca9a-fb65-48a1-99e8-fa26abc80c0b,B,B,A,A,A23,A,2023-05-05 16:09:53.055885,
61c2d23c-43e5-46b1-b619-f2f1d20407ad,A,A,A,A,B,A,2023-05-05 16:19:54.235011,
39ff859b-7673-4af8-b0fc-7d04b78d0636,B,B,C,A,B,C,2023-05-05 16:32:53.318938,
013432a1-9f16-4169-a0b6-eff2354986a8,A,A,C,A,B,B,2023-05-05 16:33:08.697691,
68c3063b-b165-4829-a70d-ab66e67253c5,B,B,C,A,A22,B,2023-05-05 16:39:44.925392,
a2a47ed1-a9c5-4845-b5b1-4915a4521b08,B,A,C,A,A23,A,2023-05-05 16:44:10.999200,
47fdb3c7-b8fe-44d7-8253-08c92da7e96f,A,A,B,B,A22,A,2023-05-05 16:59:41.088802,
b9b7c160-14ab-4076-bb32-6b5ce9bc1bb4,A,A,A,A,A20,A,2023-05-05 17:21:32.126825,
a42ef195-3c84-4af5-bd52-9438c0d2b186,C,C,C,B,B,A,2023-05-05 17:34:55.857141,
90237211-82c9-4695-9a59-8d975f6bef3a,B,B,C,A,A25,A,2023-05-05 17:39:01.438137,
f4885253-5a0a-43b2-b93a-d2e24180e4cc,B,A,C,A,A25,A,2023-05-05 18:47:14.485377,
fdb9bf30-0d9b-4985-bdff-661806be4fe5,A,B,A,B,A21,A,2023-05-05 18:57:47.149089,
430a27fb-297c-4d29-833e-7f00716ecf6f,B,B,C,B,B,C,2023-05-05 18:59:27.514148,
dc0ee7c6-7ac6-49fa-a184-9abdd61da75b,A,A,A,A,B,A,2023-05-05 19:27:04.622495,
87096b37-2c95-4294-9227-7f9964782789,B,B,C,B,A22,A,2023-05-05 19:46:32.379941,
20225caa-d9e6-42ae-9861-fef2a9acd10d,B,A,C,A,A22,A,2023-05-05 19:48:33.271747,
2482c1ca-0da2-4288-a8a6-c5e41050e310,B,A,A,A,A23,A,2023-05-05 19:53:30.810293,
9f501b92-9630-4240-8357-72956a371af4,B,B,B,C,B,A,2023-05-05 20:06:22.560576,
823da32a-f8f0-4856-96bd-20db916c5626,B,B,C,A,B,C,2023-05-05 20:09:47.091898,
